MATRIX 总数 1105
coverage>=0.6: 765
排除已测后: 597
{'300-3000': 103, '>3000': 41, '100-300': 110, 'aC<100': 343}
甜档(100-3000) 按 coverage 前 25:
  actual_eps_value_quarterly                                         cov=1.0 aC=1613
  actual_sales_value_quarterly                                       cov=1.0 aC=849
  anl4_afv4_eps_high                                                 cov=1.0 aC=1666
  anl4_afv4_eps_low                                                  cov=1.0 aC=1000
  anl4_afv4_eps_mean                                                 cov=1.0 aC=2461
  anl4_afv4_eps_number                                               cov=1.0 aC=831
  anl4_afv4_median_eps                                               cov=1.0 aC=1017
  anl4_epsa_flag                                                     cov=1.0 aC=950
  anl4_fs_actuals_advanced_af_nd_currency                            cov=1.0 aC=1000
  anl4_fs_detail_estimates_basic_af_v4_nd_currency                   cov=1.0 aC=278
  anl4_netprofit_value                                               cov=1.0 aC=1746
  anl4_qfv4_eps_high                                                 cov=1.0 aC=210
  anl4_qfv4_eps_low                                                  cov=1.0 aC=170
  anl4_qfv4_eps_mean                                                 cov=1.0 aC=214
  anl4_qfv4_eps_number                                               cov=1.0 aC=1798
  anl4_qfv4_median_eps                                               cov=1.0 aC=149
  basic_shares_max_guidance_qtr                                      cov=1.0 aC=197
  capital_expenditure_max_guidance_qtr                               cov=1.0 aC=104
  cash_flow_financing_max_guidance                                   cov=1.0 aC=109
  dividend_max_guidance_quarterly                                    cov=1.0 aC=145
  dividend_max_guidance_value                                        cov=1.0 aC=290
  dividend_min_guidance_quarterly                                    cov=1.0 aC=110
  dividend_min_guidance_value                                        cov=1.0 aC=237
  earnings_per_share_average                                         cov=1.0 aC=428
  earnings_per_share_estimate_count                                  cov=1.0 aC=1243
