id,expr,S,F,T,R,DD,selfCorr,dateSubmitted,decay,neutralization,batch
1YwKML56,"group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), industry)",2.21,1.75,0.1891,0.1185,0.0497,0.9687,2026-08-29T13:09:25-04:00,0,INDUSTRY,老31个
1YwRK1wW,"group_rank(liabilities_curr/assets, industry) + group_rank(-ts_rank(close, 20), industry)",2.11,1.31,0.4114,0.1588,0.071,0.2898,2026-08-30T23:54:22-04:00,0,INDUSTRY,老31个
58Q7kl1z,"group_rank(ts_av_diff(cash/assets, 30), industry) + group_rank(ts_av_diff(ebit/enterprise_value, 30), industry) + group_rank(-ts_rank(returns, 20), industry)",2.14,1.49,0.2287,0.1104,0.0374,0.6853,2026-09-05T04:59:29-04:00,8,SUBINDUSTRY,老31个
58QVJA9M,"group_rank(ts_av_diff(cash/assets, 30), industry) + group_rank(-ts_rank(returns, 20), industry)",2.15,1.27,0.2525,0.0877,0.0551,0.6179,2026-09-04T06:19:45-04:00,8,INDUSTRY,老31个
58p2XdxX,liabilities/assets,1.55,1.34,0.017,0.0938,0.0525,0.0,2026-08-15T07:17:36-04:00,5,SUBINDUSTRY,老31个
6XrbGx1L,"group_rank(-(fnd6_newa2v1300_ni - cashflow_op)/assets, industry) + group_rank(fnd6_mfma2_revt/assets, industry) + group_rank(-ts_rank(returns, 20), industry)",2.26,1.75,0.171,0.1026,0.063,0.8695,2026-09-04T06:23:13-04:00,8,INDUSTRY,老31个
883OXpJl,"group_rank(fnd6_xrent/assets, industry) + group_rank(ts_av_diff(assets_curr/assets, 30), industry) + group_rank(-ts_rank(returns, 20), industry)",2.48,1.78,0.197,0.1018,0.0335,0.4886,2026-09-07T05:01:18-04:00,8,SUBINDUSTRY,老31个
9qX3M2mq,"group_rank(liabilities_curr/assets, industry) + group_rank(-ts_rank(close, 10), industry)",2.49,1.45,0.5278,0.1784,0.0544,0.9569,2026-08-31T00:03:45-04:00,0,INDUSTRY,老31个
9qX8Nr6r,liabilities_curr/cap,1.26,1.49,0.0383,0.175,0.2641,0.3838,2026-08-28T23:41:21-04:00,0,INDUSTRY,老31个
A10MYm3d,"group_rank(ts_av_diff(ebit/enterprise_value, 30), industry) + group_rank(-ts_rank(close, 5), industry) + group_rank(-ts_corr(close, volume, 20), industry)",1.9,1.46,0.2221,0.1308,0.056,0.7721,2026-09-03T11:05:21-04:00,8,INDUSTRY,老31个
