band=[0.685,0.820) 目标 66 条 → 换挡组合 184 条（已存在跳过 2）
  1YwRK1wW_v2                  corr=0.7175 SF=4.16
  9qX3M2mq_v2                  corr=0.7252 SF=4.57
  x174_w125_d_AMIINT           corr=0.7314 SF=5.04
  A_SEC                        corr=0.7334 SF=4.16
  x163_w27lnoqxrent_MAR        corr=0.7398 SF=4.15
  kqjpepz8_v2                  corr=0.7423 SF=4.90
  9qX3M2mq_v3                  corr=0.7520 SF=4.50
  w162_02                      corr=0.7532 SF=4.92
  w215_w54y                    corr=0.7532 SF=4.27
  N1QxNQK7_v3                  corr=0.7543 SF=4.30
  A_IND                        corr=0.7562 SF=4.93
  x162_w164_04_SEC             corr=0.7563 SF=5.66
  w217_z4                      corr=0.7612 SF=4.26
  w39_h                        corr=0.7623 SF=4.85
  w230_m                       corr=0.7635 SF=4.35
  x172_w164_04_OVN             corr=0.7644 SF=5.88
  w54_c                        corr=0.7645 SF=5.24
  w217_z5                      corr=0.7650 SF=4.58
  Acap_SUB                     corr=0.7668 SF=5.00
  w225_b                       corr=0.7675 SF=4.57
  w162_06                      corr=0.7678 SF=5.81
  x214_w54c_SEC                corr=0.7690 SF=4.95
  w164_04                      corr=0.7698 SF=5.86
  w161_03                      corr=0.7766 SF=5.68
  w215_w54x                    corr=0.7767 SF=4.78
  w228_g                       corr=0.7768 SF=5.98
  x162_w162_06_SEC             corr=0.7771 SF=5.35
  w41_b                        corr=0.7795 SF=4.84
  kqjpepz8_v3                  corr=0.7797 SF=4.65
  w230_a                       corr=0.7804 SF=4.33
  x175_w125_d_I                corr=0.7805 SF=4.59
  m161_gJQMxZoJ                corr=0.7834 SF=4.81
  A_w15                        corr=0.7854 SF=5.52
  w55_d                        corr=0.7856 SF=5.57
  w40_e                        corr=0.7863 SF=4.92
  w41_f                        corr=0.7863 SF=4.92
  qMW92Az2_v3                  corr=0.7886 SF=5.08
  w32_k                        corr=0.7888 SF=4.26
  w42_c                        corr=0.7900 SF=4.98
  w42_f                        corr=0.7910 SF=4.98
