D:\ProgramData\Miniforge3\envs\bigmodel\Lib\site-packages\requests\__init__.py:113: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (7.6.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
=== search authorized_stock_buyback_amount count= 3512
    authorized_stock_buyback_amount | MATRIX | ds= fundamental2 | aC= 8 | cov= 0.342
    authorized_stock_repurchase_amount | MATRIX | ds= fundamental2 | aC= 24 | cov= 0.356
    fnd2_a_stkrpeprogramardamt | MATRIX | ds= fundamental2 | aC= 210 | cov= 0.257
    value_of_shares_reacquired_period | MATRIX | ds= fundamental2 | aC= 10 | cov= 0.547
    authorized_share_award_total | MATRIX | ds= fundamental2 | aC= 9 | cov= 0.343
    fn_repurchased_shares_a | MATRIX | ds= fundamental2 | aC= 182 | cov= 0.472
=== search annual_intangible_assets_net_carrying_value count= 3215
    annual_intangible_assets_net_carrying_value | MATRIX | ds= fundamental2 | aC= 10 | cov= 0.613
    fnd6_intan | MATRIX | ds= fundamental6 | aC= 1026 | cov= 0.5
    fnd6_newqeventv110_intanq | VECTOR | ds= fundamental6 | aC= 121 | cov= 0.5
    fnd6_newqv1300_intanq | MATRIX | ds= fundamental6 | aC= 627 | cov= 0.5
    intangible_assets_net_carrying_value | MATRIX | ds= fundamental2 | aC= 18 | cov= 0.479
    intangible_assets_amortization_total | MATRIX | ds= fundamental2 | aC= 7 | cov= 0.519
