w240 批次结果统计
  解析到 49 行；过闸(PASS) 32 条；未过闸 17 条；网络失败 0 条

== 过闸候选（按 SF 降序）==
  骨架 key                         alpha id       SF      S      F      TO     tS 状态
  x162_w164_04_SEC__r_ind        ZYbWAGQ8     5.61   2.76   2.85  0.1351   1.70 
  w162_02__r_ind                 levR8Gz2     5.13   2.76   2.37  0.0764   2.50 
  x162_w164_04_SEC__r_sec        qMxm09pZ     5.12   2.53   2.59  0.1353   1.34 
  x162_w164_04_SEC__r_bvol       VkaYaL7M     5.06   2.53   2.53  0.1360   1.58 
  kqjpepz8_v2__r_ind             9qjAVLRV     4.96   2.50   2.46  0.1463   1.98 
  w162_02__r_sec                 vRrJkrbd     4.96   2.68   2.28  0.0746   2.38 
  x174_w125_d_AMIINT__r_ind      Grb3lkx0     4.95   2.56   2.39  0.1087   2.45 
  kqjpepz8_v2__r_sec             LLNl9aAM     4.95   2.49   2.46  0.1480   1.92 
  A_IND__r_ind                   YPbWbMkJ     4.94   2.50   2.44  0.1083   2.50 
  x174_w125_d_AMIINT__r_sec      WjbW7JEo     4.90   2.54   2.36  0.1071   2.41 
  A_IND__r_sec                   LLNlNR09     4.89   2.48   2.41  0.1065   2.47 
  kqjpepz8_v2__r_bvol            YPbW7R5R     4.83   2.48   2.35  0.1498   2.10 
  w162_02__r_bvol                2rwnO3YN     4.72   2.57   2.15  0.0760   2.48 
  x162_w164_00_MAR__r_sec        VkaY0lMV     4.72   2.49   2.23  0.1917   1.63 
  9qX3M2mq_v2__r_bvol            88jKeENW     4.69   2.39   2.30  0.1446   1.98 ★已提交过
  9qX3M2mq_v3__r_sec             omL96YX6     4.69   2.35   2.34  0.1208   1.30 
  w215_w54x__r_sec               2rwnjeww     4.66   2.41   2.25  0.1357   1.72 
  9qX3M2mq_v2__r_sec             RRbk1OEe     4.63   2.32   2.31  0.1430   1.82 
  w215_w54x__r_bdv               O0N5JbVv     4.63   2.41   2.22  0.1370   1.73 
  w162_02__r_bdv                 3qXn9X8g     4.58   2.49   2.09  0.0764   1.96 
  9qX3M2mq_v3__r_ind             d5blOQrK     4.54   2.30   2.24  0.1199   1.28 
  9qX3M2mq_v3__r_bvol            LLNl9qa1     4.44   2.25   2.19  0.1222   1.71 
