matrix 内字段总数(含嵌套去重前): 526
fnd6_newqv1300_cicurrq           -> aC=279
fnd6_dxd5                        -> aC=338
fnd6_aqi                         -> aC=361
fnd6_newa2v1300_tstk             -> aC=272
fnd6_newqv1300_loq               -> aC=317
fnd6_newqv1300_spceepsp12        -> aC=17
fnd6_newa2v1300_xoptepsq         -> NOT FOUND
fnd6_newqv1300_prcepsq           -> aC=29
fnd6_newqv1300_spcep12           -> aC=9
fnd6_newqv1300_xrent             -> NOT FOUND
fnd6_xrent                       -> aC=3802
