DUPROW: YP57jVzo  0909批次 group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank
DUPROW: YP57jVzo 2026-09-09T03:27:30-04:00 0909批次 group_rank(fnd6_mfma2_revt/assets, subindustry) + group_rank
PARSE_FAIL: 0
QUALITY_PASSERS_NOT_IN_LEDGER: 702
  a1_o3_d40 P0Z7Kj0x SF 4.17 tS 2.29 status UNSUBMITTED
  a2_o4_d40 2rOleE3x SF 4.09 tS 1.96 status UNSUBMITTED
  a3_g02_d40 om6qZ3Qm SF 4.27 tS 1.42 status UNSUBMITTED
  d1_d0_grev_xo_vol xAYjommJ SF 4.55 tS 2.49 status UNSUBMITTED
  d2_d0_grev5_xo_vol vRkjb0Vd SF 4.32 tS 2.4 status UNSUBMITTED
  d3_d0_grev_xr_vol 3q9lO6rO SF 4.47 tS 1.52 status UNSUBMITTED
  d4_d1_grev_xo_vol120 A10l5PKQ SF 4.25 tS 1.87 status UNSUBMITTED
  d6_d0_grev5_xr_vol MP17nYN8 SF 4.17 tS 1.41 status UNSUBMITTED
  e04_liab_rev 78Z1qvnv SF 4.48 tS 1.94 status UNSUBMITTED
  f09_sector_grp le8lQ3n7 SF 4.49 tS 1.87 status UNSUBMITTED
  f10_mult_strc Vk6P2G00 SF 4.19 tS 1.71 status UNSUBMITTED
  f12_vwap_rev 1YxdalNW SF 4.42 tS 1.83 status UNSUBMITTED
  g02_xrent_cash npK2nONd SF 4.61 tS 1.36 status UNSUBMITTED
  i05_amb_opex pwPlK163 SF 4.42 tS 3.09 status UNSUBMITTED
  j09_interact om6NxxKb SF 4.31 tS 1.39 status UNSUBMITTED
  l01_revt_amb60 Grdl1PeQ SF 4.03 tS 2.27 status UNSUBMITTED
  l02_revt_amb_rev3 xAYjOgRW SF 4.08 tS 1.89 status UNSUBMITTED
  l03_k02_cash npK7xbrq SF 4.38 tS 2.0 status UNSUBMITTED
  l08_k04_ind 58QlnjpM SF 4.28 tS 2.14 status UNSUBMITTED
  m09_xopr_vol 883lo1m7 SF 4.34 tS 2.56 status UNSUBMITTED
