未提交达标候选总数: 768
按批次前缀: {'x175': 34, 'x174': 24, 'x179': 19, 'w114': 13, 'x162': 12, 'x172': 12, 'x176': 12, 'w116': 10, 'w118': 10, 'w203': 10, 'w32': 10, 'w119': 9, 'w213c': 9, 'w102': 8, 'w106': 8, 'w121': 8, 'w162': 8, 'w196': 8, 'w222': 8, 'w223': 8}

SF     S      F      tS     id          cid
 6.82   3.30   3.52   2.07  XgbgNwna    w158_01
 6.74   3.28   3.46   2.15  qMxM5j1A    w158_04
 6.71   3.30   3.41   2.10  vRrRYmxa    w158_03
 6.71   3.26   3.45   2.00  d5b59n6K    w158_02
 6.69   3.51   3.18   3.13  1YXQJRoX    w182_01
 6.65   3.28   3.37   2.24  GrbrQbWZ    w158_05
 6.51   3.19   3.32   1.91  blblxz5M    w158_07
 6.49   3.28   3.21   2.22  3qXZGMmO    w189_01
 6.47   3.38   3.09   3.14  VkagZle0    w193_00
 6.43   3.19   3.24   1.71  P020P5MM    w158_06
 6.34   3.37   2.97   3.25  Xgb59aRb    w188_01
 6.28   3.39   2.89   2.71  JjNZ3Rbm    w191_01
 6.28   3.33   2.95   2.63  XgbEJ6j5    w196_02
 6.22   3.33   2.89   2.56  ZYbebzJY    w186_01
 6.22   3.33   2.89   2.56  ZYbebzJY    w185_01
 6.21   3.01   3.20   1.50  qMx9ZPaP    n160_pwRwWoJ3_SEC
 6.19   2.99   3.20   2.49  wpY3Yxvd    w53_c
 6.18   3.24   2.94   2.37  A1N1mVMw    w161_00
 6.17   3.26   2.91   2.65  MPaod5Lk    w192_00
 6.15   3.02   3.13   2.53  A10e0LQY    w54_d
 6.15   3.01   3.14   2.54  Vk6Za7Lw    w55_h
 6.14   3.01   3.13   2.53  qMWOWaE1    w54_h
 6.14   3.01   3.13   2.53  kqVvjjnK    w52_g
 6.11   2.98   3.13   2.43  Vk6Z6nmw    w53_f
 6.09   3.40   2.69   2.70  9qjQWk3V    w196_08
 6.09   3.00   3.09   2.38  RRV9brza    w55_f
 6.08   2.98   3.10   2.51  zqYgYexo    w54_e
 6.06   3.00   3.06   2.42  78Z3ZgrZ    w53_g
 6.05   3.22   2.83   2.77  mLmLW6E6    w162_00
 6.05   3.02   3.03   2.57  MP1d7Nvk    w53_a
 6.05   2.96   3.09   2.58  kqVvoRMP    w55_a
 6.05   2.92   3.13   2.48  KPOvGJRj    w51_a
 6.04   2.97   3.07   2.65  78Z3Z5m5    w54_g
 6.04   2.97   3.07   2.59  78Z3ZAe1    w53_e
 6.03   2.97   3.06   2.32  kqVvVxag    w53_d
 6.01   3.44   2.57   2.85  JjNlZEmx    w198_02
 6.01   2.99   3.02   2.64  JjxoNKAj    w55_b
 6.00   2.94   3.06   2.52  vRkZN1gG    w51_b
 5.98   2.91   3.07   2.42  d5OYjqdY    w52_a
 5.96   2.96   3.00   3.11  58QrQzeM    w54_a
 5.95   2.86   3.09   2.40  j23orrMk    w49_d
 5.94   3.02   2.92   1.83  A1N1eOvd    w159_00
 5.94   2.94   3.00   2.46  JjxoxraA    w54_f
 5.91   3.02   2.89   2.64  3q91lvxO    w53_b
 5.91   2.95   2.96   2.56  vRkZNpEb    w51_c
 5.91   2.93   2.98   2.46  O0rR7mmR    w52_c
 5.91   2.90   3.01   2.58  78Z3jxx2    w52_d
 5.89   3.40   2.49   2.93  Vkan1Ek5    w197_00
 5.89   3.01   2.88   2.53  xAYoEXvm    w94_e
 5.88   3.07   2.81   2.62  vRkXwvNA    w97_f
 5.88   3.05   2.83   1.83  mLmwVok6    x172_w164_04_OVN
 5.87   2.99   2.88   2.72  gJQXb8bg    w55_g
 5.86   2.97   2.89   1.82  KPNPoMAz    w164_04
 5.86   2.83   3.03   2.22  LL9ENRX2    w55_e
 5.85   3.13   2.72   2.75  O0rj2Zw1    w94_j
 5.85   2.83   3.02   2.12  N1QLrPN7    w48_a
 5.84   2.84   3.00   2.30  ZY0g7q2d    w52_b
 5.83   3.18   2.65   2.60  QPbdYR15    w196_18
 5.82   3.12   2.70   2.75  N1QG2wgq    w94_c
 5.82   2.97   2.85   2.64  qMWOjxW1    w52_h
