A_xr_I     id=XgbmmmOz SF=3.23 tS=0.39 FAIL=[]
A_xr_C     id=E5pOOM8m SF=3.20 tS=0.4 FAIL=[]
A_xr_V     id=kqoEd5AL SF=2.86 tS=0.18 FAIL=[]
A_intc_I   id=VkaKLvQG SF=3.30 tS=0.75 FAIL=['LOW_SUB_UNIVERSE_SHARPE']
A_intc_C   id=1YX620x6 SF=2.53 tS=0.51 FAIL=['LOW_FITNESS', 'LOW_SUB_UNIVERSE_SHARPE']
A_debt_I   id=omLQkPRE SF=2.00 tS=-1.08 FAIL=['LOW_FITNESS', 'LOW_SUB_UNIVERSE_SHARPE']
A_acc_I    id=0mXmapY6 SF=2.77 tS=1.15 FAIL=[]
A_int_I    id=O0N026xd SF=3.02 tS=1.43 FAIL=[]
A_lnoq_I   id=78NgrkMQ SF=0.71 tS=0.89 FAIL=['LOW_SHARPE', 'LOW_FITNESS', 'LOW_SUB_UNIVERSE_SHARPE']
A_g12_I    id=gJb70bxl SF=1.09 tS=-0.08 FAIL=['LOW_SHARPE', 'LOW_FITNESS', 'CONCENTRATED_WEIGHT', 'LOW_SUB_UNIVERSE_SHARPE']
P_int5     id=blb7gJgR SF=2.46 tS=4.49 FAIL=['LOW_FITNESS', 'HIGH_TURNOVER']
P_int15    id=kqoeMZJK SF=2.65 tS=3.17 FAIL=['LOW_FITNESS']
P_int30    id=N1akGNzX SF=2.39 tS=2.57 FAIL=['LOW_FITNESS']
P_int10I   id=E5poMKjR SF=3.00 tS=4.03 FAIL=['LOW_FITNESS']
P_int10C   id=O0NKjmk1 SF=2.84 tS=3.63 FAIL=['LOW_FITNESS']
P_int10V   id=omLQXgv5 SF=2.74 tS=3.51 FAIL=['LOW_FITNESS']
