w210_00 E5pYLQPL SF=4.54 S=2.64 F=1.90 T=0.181 tS=1.29 pred_corr=0.6189 FAIL=[] [鈽匬ASS]
w210_01 j2AWxo2W SF=4.37 S=2.57 F=1.80 T=0.2138 tS=0.46 pred_corr=0.6154 FAIL=[] [fail]
w210_02 qMxv3waO SF=4.37 S=2.57 F=1.80 T=0.2138 tS=0.46 pred_corr=0.6134 FAIL=[] [fail]
w210_03 A1NYm8ke SF=4.49 S=2.61 F=1.88 T=0.2127 tS=0.99 pred_corr=0.6246 FAIL=[] [fail]
w210_04 j2AWO5kZ SF=4.27 S=2.49 F=1.78 T=0.1784 tS=0.65 pred_corr=0.6166 FAIL=[] [fail]
w210_05 A1NYm8ke SF=4.49 S=2.61 F=1.88 T=0.2127 tS=0.99 pred_corr=0.6223 FAIL=[] [fail]
w210_06 0mX95n5p SF=4.32 S=2.56 F=1.76 T=0.2191 tS=1.37 pred_corr=0.6163 FAIL=[] [鈽匬ASS]
w210_07 O0Nqgkng SF=3.98 S=2.35 F=1.63 T=0.1863 tS=0.14 pred_corr=0.601 FAIL=[] [fail]
w210_08 3qX3Jz70 SF=4.32 S=2.56 F=1.76 T=0.2191 tS=1.37 pred_corr=0.614 FAIL=[] [鈽匬ASS]
w210_09 0mX95n5p SF=4.32 S=2.56 F=1.76 T=0.2191 tS=1.37 pred_corr=0.6148 FAIL=[] [鈽匬ASS]
w210_10 rKOE8Og1 SF=3.98 S=2.35 F=1.63 T=0.1863 tS=0.14 pred_corr=0.602 FAIL=[] [fail]
w210_11 3qX3Jz70 SF=4.32 S=2.56 F=1.76 T=0.2191 tS=1.37 pred_corr=0.6127 FAIL=[] [鈽匬ASS]
