  heat_argmin60: maxcorr=0.105 hit=RRV5l5Go
  heat_argmaxret: maxcorr=0.261 hit=58znv2Y1
  heat_c_pv20: maxcorr=0.653 hit=akLqqmm6
  heat60_c_pv10: maxcorr=0.630 hit=akLqqmm6
璇勪及 9600锛孲>=1.5 涓?main_frac<=0.45 涓?pred<=0.63 鐨?886 鏉?
  S=2.57 maxcorr=0.619 main=argshort10(2.0) anchors=('L_int', 'M_intc', 'M_intI')(w0.75) eng=0.5 mainf=0.42 hit=pwRwWoJ3
  S=2.50 maxcorr=0.615 main=argshort10(2.0) anchors=('M_intc', 'M_debt', 'M_intI')(w0.75) eng=0.5 mainf=0.42 hit=akLp3pzW
  S=2.49 maxcorr=0.612 main=argshort10(2.0) anchors=('L_xr', 'L_int', 'M_intI')(w0.75) eng=0.25 mainf=0.44 hit=zq8Xeo2R
  S=2.49 maxcorr=0.629 main=argshort10(1.5) anchors=('L_int', 'M_intc', 'M_debt')(w0.75) eng=0.25 mainf=0.38 hit=pwRwWoJ3
  S=2.47 maxcorr=0.613 main=argshort10(2.0) anchors=('L_int', 'M_intc', 'M_debt')(w0.75) eng=0.5 mainf=0.42 hit=akLp3pzW
  S=2.47 maxcorr=0.595 main=argshort10(2.0) anchors=('L_int', 'M_intc', 'M_intI')(w0.75) eng=0.25 mainf=0.44 hit=0mXm1neK
  S=2.44 maxcorr=0.628 main=argshort10(2.0) anchors=('L_xr', 'M_debt', 'M_intI')(w0.75) eng=0.25 mainf=0.44 hit=O0N0R5NY
  S=2.43 maxcorr=0.627 main=argshort10(2.0) anchors=('L_xr', 'M_intc', 'M_debt')(w0.75) eng=0.25 mainf=0.44 hit=O0N0R5NY
  S=2.43 maxcorr=0.625 main=argshort10(2.0) anchors=('L_xr', 'M_intI', 'M_lnoq')(w0.75) eng=0.5 mainf=0.42 hit=O0N0R5NY
  S=2.41 maxcorr=0.629 main=argshort10(2.0) anchors=('L_acc', 'M_debt', 'M_intI')(w0.75) eng=0.25 mainf=0.44 hit=3qXd5vg0
  S=2.41 maxcorr=0.617 main=argshort10(2.0) anchors=('L_int', 'M_debt', 'M_intI')(w0.75) eng=0.5 mainf=0.42 hit=pwRwWoJ3
  S=2.41 maxcorr=0.592 main=argshort10(2.0) anchors=('M_intc', 'M_debt', 'M_intI')(w0.75) eng=0.25 mainf=0.44 hit=3qXd5vg0
  S=2.41 maxcorr=0.624 main=argshort10(2.0) anchors=('L_xr', 'L_int', 'M_debt')(w0.75) eng=0.25 mainf=0.44 hit=O0N0R5NY
  S=2.40 maxcorr=0.622 main=argshort10(2.0) anchors=('L_xr', 'L_int', 'M_lnoq')(w0.75) eng=0.5 mainf=0.42 hit=O0N0R5NY
  S=2.40 maxcorr=0.616 main=argshort10(2.0) anchors=('L_acc', 'M_intI', 'M_lnoq')(w0.75) eng=0.5 mainf=0.42 hit=O0N0R5NY
  S=2.39 maxcorr=0.601 main=argshort10(1.5) anchors=('M_intc', 'M_debt', 'M_intI')(w0.75) eng=0.0 mainf=0.40 hit=3qXd5vg0
  S=2.39 maxcorr=0.629 main=argshort10(2.0) anchors=('M_debt', 'M_accI', 'M_intI')(w0.75) eng=0.25 mainf=0.44 hit=3qXd5vg0
  S=2.38 maxcorr=0.629 main=argshort10(2.0) anchors=('L_int', 'L_acc', 'M_debt')(w0.75) eng=0.25 mainf=0.44 hit=3qXd5vg0
  S=2.38 maxcorr=0.592 main=argshort10(2.0) anchors=('L_int', 'M_intc', 'M_debt')(w0.75) eng=0.25 mainf=0.44 hit=3qXd5vg0
  S=2.36 maxcorr=0.614 main=argshort10(2.0) anchors=('L_int', 'L_acc', 'M_lnoq')(w0.75) eng=0.5 mainf=0.42 hit=3qXd5vg0
宸茶惤鐩?_autologs/search_combos_w210v2.json锛?0 鏉★級
