field,alphaCount,alpha_id,S,F,longCount,shortCount,hasData
fnd6_newqv1300_spceepspq,122,6XjXYv0Y,0,0,0,0,N
fnd6_optdrq,182,RRbRk3Eo,-0.38,-0.13,473,1726,Y
fnd6_newa1v1300_cshi,249,XgbgYl7z,-0.39,-0.18,1461,1559,Y
fnd6_newa1v1300_aol2,251,0mXmKngG,1.19,0.65,1261,1767,Y
fnd6_newa2v1300_spceeps,271,A1N1Oa8e,0,0,0,0,N
fnd6_newqv1300_spcedpq,279,vRrRJdoG,0,0,0,0,N
fnd6_newa1v1300_ibcom,281,1YXYn7mR,0.18,0.07,1471,1540,Y
fnd6_optlifeq,282,e7b7qzrN,-0.47,-0.24,404,1823,Y
fnd6_txtubtxtr,302,RRbRk7oz,0.8,0.49,1125,1740,Y
fnd6_newqv1300_invrmq,303,kqoqLg6l,0.7,0.3,1225,1421,Y
fnd6_newqv1300_aocipenq,307,akbkWVG2,0.17,0.04,1742,1220,Y
fnd6_newqv1300_rdipdq,317,zq8qJArK,0.58,0.33,1127,1584,Y
fnd6_newa1v1300_fca,321,3qXqnkee,0.4,0.12,849,1911,Y
fnd6_newqv1300_dpactq,322,0mXmK651,0.96,0.53,1023,1809,Y
fnd6_newqv1300_aqpl1q,328,pwRw1kO6,0.38,0.12,1184,1826,Y
fnd6_newa1v1300_aocidergl,334,3qXqnmEP,0.09,0.01,1729,1244,Y
fnd6_newqv1300_cshoq,338,9qjqANqV,-0.48,-0.27,1479,1527,Y
fnd6_newa1v1300_dvt,346,qMxMPMgV,0.1,0.02,1354,1620,Y
fnd6_mfmq_mibtq,347,gJbJR62l,0.79,0.39,1107,1790,Y
fnd6_newqv1300_ibcomq,352,npdpZVOx,0.27,0.12,1484,1525,Y
fnd6_lqpl1,361,gJbJRv10,0.56,0.2,1628,1302,Y
fnd6_newa1v1300_ibadj,361,E5p5grqP,0.19,0.07,1472,1540,Y
fnd6_newqv1300_txdbaq,364,rKOKJJYd,0.67,0.32,1285,1739,Y
fnd6_pstkl,365,88j8aQr7,0.82,0.41,1199,1439,Y
fnd6_lol2,368,A1N1gwYw,0.77,0.39,1310,1703,Y
fnd6_txs,370,QPbP23KM,0.84,0.52,1239,1654,Y
fnd6_newqv1300_aociderglq,371,KPNPXmRp,0.62,0.23,1650,1341,Y
fnd6_txtubposinc,378,vRrReYvQ,1.13,0.69,1170,1694,Y
fnd6_txtubadjust,379,RRbR2PEj,1.33,0.87,1536,1246,Y
fnd6_pidom,382,npdpZjM3,0.57,0.33,934,1813,Y
fnd6_newqv1300_rectoq,384,88j8O5Lo,0.43,0.12,1105,1780,Y
fnd6_stkcpa,384,9qjq9vlx,0.6,0.24,858,2045,Y
fnd6_newqv1300_aol2q,387,2rwrvPbP,1.17,0.66,1194,1822,Y
fnd6_newqv1300_chq,388,QPbPnq5M,-0.25,-0.08,1394,1511,Y
fnd6_newqv1300_invwipq,388,vRrR5d7G,0.72,0.31,1248,1393,Y
fnd6_newa1v1300_dpact,389,j2A2ngn5,0.86,0.55,1314,1577,Y
fnd6_newqv1300_citotalq,389,Wjbj9OOd,0.33,0.15,1415,1611,Y
fnd6_newa2v1300_nopi,392,xA3ARr2w,0.62,0.25,1467,1544,Y
fnd6_invo,393,wpZpLAzx,0.3,0.08,1645,937,Y
fnd6_txdba,393,omLmVjO2,0.69,0.39,1311,1709,Y
fnd6_newa1v1300_ano,395,d5b5Qkng,0.92,0.41,1784,1099,Y
fnd6_newqv1300_ibadjq,397,leve0bZ5,0.27,0.12,1484,1525,Y
fnd6_np,400,ZYbYoxE3,0.42,0.16,1066,1685,Y
