cid,id,S,F,SF,T,R,DD,tS,band,fails,grade,universe,neutralization,decay,truncation,delay,submitted,expr
w53_c,wpY3Yxvd,2.99,3.2,6.19,0.1331,0.1527,0.0331,2.49,A,,EXCELLENT,TOP3000,SUBINDUSTRY,16,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w54_d,A10e0LQY,3.02,3.13,6.15,0.1443,0.1551,0.0341,2.53,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 40), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w55_h,Vk6Za7Lw,3.01,3.14,6.15,0.1425,0.1547,0.0333,2.54,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_neutralize(group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)), industry)"
w52_g,kqVvjjnK,3.01,3.13,6.14,0.1426,0.1543,0.0334,2.53,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w54_h,qMWOWaE1,3.01,3.13,6.14,0.1426,0.1543,0.0334,2.53,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.12,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w53_f,Vk6Z6nmw,2.98,3.13,6.11,0.1409,0.1555,0.0339,2.43,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 3), subindustry) + rank(volume/ts_mean(volume, 60))"
w55_f,RRV9brza,3.0,3.09,6.09,0.144,0.153,0.0337,2.38,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 42), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 42), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w54_e,zqYgYexo,2.98,3.1,6.08,0.1412,0.1532,0.0327,2.51,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 50), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w53_g,78Z3ZgrZ,3.0,3.06,6.06,0.1488,0.1546,0.0355,2.42,A,,EXCELLENT,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w51_a,KPOvGJRj,2.92,3.13,6.05,0.1299,0.1497,0.031,2.48,A,,EXCELLENT,TOP3000,SUBINDUSTRY,16,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
