leg,appear,pass_quality,pass_rate
"rank(volume/ts_mean(volume, 60))",417,213,0.5108
"group_rank(-ts_delta(close, 2), subindustry)",351,191,0.5442
"group_rank(ts_av_diff(cash/assets, 45), subindustry)",184,136,0.7391
"group_rank(fnd6_xrent/assets, subindustry)",181,140,0.7735
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry)",180,91,0.5056
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)",176,126,0.7159
"group_rank(ts_av_diff(cash/assets, 30), subindustry)",140,70,0.5
"rank(volume/ts_mean(volume, 120))",91,61,0.6703
"rank(-ts_delta(close, 2))",84,22,0.2619
"group_rank(authorized_stock_buyback_amount/assets, subindustry)",83,54,0.6506
"group_rank(-ts_delta(close, 10), subindustry)",75,51,0.68
"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry)",67,36,0.5373
"group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry)",57,43,0.7544
"rank(volume/ts_mean(volume, 90))",48,18,0.375
"group_rank(fnd6_xopr/assets, subindustry)",45,31,0.6889
"group_rank(fnd6_newqv1300_ivstq/assets, subindustry)",45,17,0.3778
"group_rank(-ts_delta(close, 5), industry)",39,11,0.2821
"group_rank(fnd6_txtubxintis/assets, subindustry)",37,16,0.4324
"group_rank(operating_expense/assets, subindustry)",36,16,0.4444
"0.5*group_rank(-ts_delta(close, 10), subindustry)",33,6,0.1818
"0.5*rank(volume/ts_mean(volume, 120))",33,6,0.1818
"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry)",30,10,0.3333
"group_rank(ts_av_diff(cash/assets, 75), subindustry)",29,16,0.5517
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",29,19,0.6552
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",29,19,0.6552
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1""))",27,18,0.6667
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1""))",27,18,0.6667
"group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",27,19,0.7037
"group_rank(fnd6_newqv1300_cshopq/assets, subindustry)",27,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry)",26,18,0.6923
"group_rank(fnd6_newqv1300_lol2q/assets, subindustry)",25,8,0.32
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), industry)",24,16,0.6667
"group_rank(fnd6_newqv1300_mibtq/assets, subindustry)",24,6,0.25
"group_rank(fnd6_mfma2_revt/assets, subindustry)",23,5,0.2174
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfi_low/assets, subindustry)",23,14,0.6087
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, subindustry)",22,11,0.5
"rank(volume/ts_mean(volume, 150))",21,14,0.6667
"group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1""))",21,16,0.7619
"group_rank(-ts_delta(close, 8), subindustry)",21,15,0.7143
"group_rank(fnd6_xintopt/assets, subindustry)",18,8,0.4444
"group_rank(fnd6_newqv1300_tfvceq/assets, subindustry)",18,0,0.0
"group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))",17,12,0.7059
"group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",17,11,0.6471
"group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, subindustry)",16,6,0.375
"group_rank(ts_av_diff(cash/assets, 45), industry)",16,14,0.875
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",16,9,0.5625
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",16,9,0.5625
"group_rank(-ts_rank(close, 10), industry)",16,9,0.5625
"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60))",15,11,0.7333
"group_rank(fnd6_xintopt/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",15,7,0.4667
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",15,7,0.4667
"group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",15,9,0.6
"group_rank(fnd6_tstkc/assets, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",15,8,0.5333
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",15,8,0.5333
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",15,8,0.5333
"group_rank(fnd6_newqv1300_txdbq/assets, subindustry)",15,0,0.0
"group_rank(-anl4_fs_detail_estimates_advanced_af_nd_capex_median/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",14,6,0.4286
"group_rank(fnd6_cicurr/assets, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",14,7,0.5
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_median/assets, subindustry)",14,8,0.5714
"group_rank(anl4_fs_detail_estimates_advanced_af_nd_capex_std/assets, subindustry)",14,7,0.5
"group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",13,7,0.5385
"group_rank(-news_open_gap/close, subindustry)",12,9,0.75
"group_rank(ts_av_diff(cash/assets, 60), subindustry)",12,7,0.5833
"group_rank(-ts_delta(close, 3), subindustry)",12,10,0.8333
"group_rank(ts_av_diff(cash/assets, 60), industry)",12,2,0.1667
"group_rank(anl4_fs_actuals_basic_qf_nd_div_value/assets, subindustry)",12,7,0.5833
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high/assets, subindustry)",12,7,0.5833
"group_rank(-ts_delta(close, 5), subindustry)",11,6,0.5455
"rank(-ts_mean(returns, 5))",11,0,0.0
"group_rank(dividend/(sharesout*close), subindustry)",11,5,0.4545
"group_rank(fnd6_tstkc/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",11,7,0.6364
"group_rank(fnd6_intc/assets, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",11,7,0.6364
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_high/assets, subindustry)",11,2,0.1818
"rank(-ts_delta(vwap, 2))",10,8,0.8
"group_rank(fnd6_newqv1300_lnoq/assets, subindustry)",10,3,0.3
"group_rank(annual_intangible_assets_net_carrying_value/assets, subindustry)",10,0,0.0
"0.5*group_rank(ts_av_diff(cash/assets, 45), subindustry)",9,0,0.0
"0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry)",9,0,0.0
"group_rank(fnd6_cicurr/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",9,6,0.6667
"group_rank(-ts_delta(close, 2), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",9,8,0.8889
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, subindustry)",9,6,0.6667
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean/assets, industry)",9,5,0.5556
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, industry)",9,5,0.5556
"group_rank(ts_av_diff(cashflow_op/enterprise_value,60),subindustry)",9,3,0.3333
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_high/assets, subindustry)",8,2,0.25
"group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",8,8,1.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cfi_low/assets, industry)",8,2,0.25
"0.5*group_rank(ts_av_diff(cash/assets, 75), subindustry)",8,0,0.0
"0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry)",8,0,0.0
"group_rank(anl4_fs_detail_estimates_basic_qf_delay1_v4_nd_div_mean/assets, subindustry)",8,0,0.0
"group_rank(-(fnd6_ni-fnd6_newa2_oancf)/assets, subindustry)",8,0,0.0
"group_rank(ts_av_diff(cash/assets,30),subindustry)",8,3,0.375
"group_rank(-ts_delta(close, 2), industry)",7,6,0.8571
