cid,alpha_id,status,source,S,F,T,R,DD,trainS,trainF,testS,testF,testDD,error,expr
j01_levchg,JjxG6Pql,UNSUBMITTED,"杠杆动量(变化率)非水平, 区别于liab家族",1.69,0.99,0.2142,0.0734,0.0422,1.47,0.82,2.84,1.97,0.0128,,"group_rank(ts_delta(liabilities_curr/assets, 60), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
j02_revt,pwPN9vrv,UNSUBMITTED,新锚fnd6_mfma2_revt(收入),1.99,1.45,0.1944,0.1037,0.0876,1.94,1.42,2.24,1.6,0.0394,,"group_rank(fnd6_mfma2_revt/assets, subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
j03_acdo,,SIM_FAIL,待办清单acdo趋势+新骨架,,,,,,,,,,,"{""id"": ""23HTuLkv4Jk8YyfzRgafJT"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use unknown variable \""acdo\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 22, ""end"": 26, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessa","group_rank(ts_av_diff(acdo/assets, 30), subindustry) + rank(volume/ts_mean(volume, 60)) + rank(-ts_delta(close, 2))"
j04_cf120,akL15Kn9,UNSUBMITTED,"长窗cf趋势120d, 区别cf/ev60d",1.21,0.61,0.1592,0.0402,0.0682,1.37,0.74,0.46,0.13,0.0206,,"group_rank(ts_rank(cashflow_op/assets, 120), subindustry) + rank(volume/ts_mean(volume, 60))"
j05_coskew,,SIM_FAIL,高阶矩协偏度(PLAYBOOK策略3),,,,,,,,,,,"{""id"": ""4FdS98bDd4mWcqmQ0yT10SH"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use inaccessible or unknown operator \""ts_co_skewness\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 12, ""end"": 47, ""property"": ""regular""}, ""links","group_rank(-ts_co_skewness(returns, volume, 22), subindustry) + rank(-ts_delta(close, 2))"
j06_kurt,,SIM_FAIL,高阶矩峰度探针,,,,,,,,,,,"{""id"": ""FyAs28iF4BF9Vg17dJViUyf"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use inaccessible or unknown operator \""ts_kurtosis\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 6, ""end"": 30, ""property"": ""regular""}, ""links"": {","rank(-ts_kurtosis(returns, 22)) + group_rank(fnd6_xrent/assets, subindustry)"
j07_amb_opex_norev,N1QbYZd8,UNSUBMITTED,"Amihud+opex无反转(i05去rev差异化), trunc 0.04实测",1.6,1.14,0.0303,0.064,0.0335,1.56,1.12,1.83,1.28,0.0167,,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(operating_expense/assets, subindustry)"
j08_amb60_wc,le8WowWe,UNSUBMITTED,"60d Amihud+营运资本, 无反转",1.12,0.71,0.0598,0.0504,0.0533,1.3,0.9,0.35,0.12,0.0275,,"group_rank(-ts_mean(abs(returns)/volume, 60), subindustry) + group_rank(ts_av_diff(assets_curr/assets, 30), subindustry)"
j09_interact,om6NxxKb,UNSUBMITTED,乘法交互结构(非加法),2.32,1.99,0.1291,0.0948,0.0287,2.54,2.29,1.39,0.91,0.0278,,"rank(-ts_delta(close, 2)) * rank(volume/ts_mean(volume, 60)) + group_rank(fnd6_xrent/assets, subindustry)"
j10_cashmom,ZY07Rejd,UNSUBMITTED,现金动量(文献:现金增长正溢价),1.72,1.05,0.1894,0.0707,0.0316,1.65,1.01,2.14,1.32,0.0181,,"group_rank(ts_delta(cash/assets, 60), subindustry) + rank(-ts_delta(close, 2))"
j11_rev5_cash,78ZjkVnZ,UNSUBMITTED,5d均收益反转+cash锚,1.72,1.2,0.1826,0.0885,0.061,1.71,1.22,1.85,1.17,0.0218,,"rank(-ts_mean(returns, 5)) + rank(volume/ts_mean(volume, 60)) + group_rank(ts_av_diff(cash/assets, 30), subindustry)"
j12_amb_opex_vol,wpYj8X3x,UNSUBMITTED,Amihud+opex+放量(无反转),1.79,1.4,0.0954,0.0769,0.0437,1.76,1.4,1.99,1.49,0.0217,,"group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + group_rank(operating_expense/assets, subindustry) + rank(volume/ts_mean(volume, 60))"
