cid,alpha_id,status,source,S,F,T,R,DD,trainS,trainF,testS,testF,testDD,error,expr
c01_s11_sma_rev,YP50dJdW,UNSUBMITTED,IQC示例11,2.03,0.72,1.0014,0.1273,0.0699,1.73,0.58,3.72,1.57,0.0272,,"close > ts_sum(close, 20) / 20 ? 1.6 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))"
c02_s08_vol_rev,GrdLvxxx,UNSUBMITTED,IQC示例8,1.79,0.96,0.5573,0.1589,0.0867,1.66,0.88,2.73,1.51,0.0296,,"volume > adv20 ? 2 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))"
c03_s01_vwap_rev,,SIM_FAIL,IQC示例1,,,,,,,,,,,"{""id"": ""1IxuG12ND4yf9Ne1BlcOLm7"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use inaccessible or unknown operator \""sum\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 63, ""end"": 78, ""property"": ""regular""}, ""links"": {""linkTo","-rank(ts_delta(close, 2)) * (1 - rank(ts_decay_linear(volume / sum(volume, 30), 10)))"
c04_s06_reg_res,MP1QAz26,UNSUBMITTED,IQC示例6,1.71,0.85,0.5874,0.1457,0.0993,1.5,0.72,3.07,1.73,0.0297,,"rank(ts_delay(close, 2) - ts_regression(close, vwap, 60, rettype=3))"
c05_s07_mon_cnt,xAYkMOzW,UNSUBMITTED,IQC示例7,1.07,0.73,0.0498,0.0576,0.0819,0.96,0.64,1.73,1.27,0.0174,,"a = ts_sum(open > close, 20) / ts_sum(open < close, 20);
b = ts_sum(open > close, 252) / ts_sum(open < close, 252);
rank(a / b)"
c06_s13_mon_amp,JjxOlqnA,UNSUBMITTED,IQC示例13,0.92,0.63,0.0965,0.0594,0.0752,0.85,0.58,1.45,1.03,0.0282,,"bar = (open - close) / (high - low);
a = ts_sum((open > close) * bar, 20) / ts_sum((open < close) * (-bar), 20);
b = ts_sum((open > close) * bar, 252) / ts_sum((open < close) * (-bar), 252);
rank(a / b)"
c07_s09_stop,qMWlb9dv,UNSUBMITTED,IQC示例9,1.61,0.66,0.631,0.1075,0.0934,1.44,0.58,2.68,1.22,0.0254,,"ts_sum(sign(ts_delta(close, 1)), 4) == -4 ? 0 : rank(-ts_delta(close, 2))"
c08_s10_twhen,6Xr9x1AJ,UNSUBMITTED,IQC示例10,1.3,0.64,0.3367,0.0822,0.0665,1.21,0.59,1.88,0.94,0.0259,,"rank(trade_when(volume > adv20, -returns, -1))"
c09_s12_event,,SIM_FAIL,IQC示例12,,,,,,,,,,,"{""id"": ""2j83XA9sc57ZaigzrJHw34x"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use inaccessible or unknown operator \""ts_stddev\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 2, ""start"": 90, ""end"": 111, ""property"": ""regular""}, ""links"": {","event = abs(ts_zscore(ts_delay(close, 1) - open, 20)) > 3.5;
alpha = ts_delta(close, 5) / ts_stddev(close, 252);
close_at_event = trade_when(event, close, -1);
end = abs(close_at_event - close) / close_at_event > 0.1;
ts_decay_linear(trade_when(event, alpha, end), 5)"
c10_s02_turnover,rK5lkLAj,UNSUBMITTED,IQC示例2,0.91,0.7,0.0171,0.0738,0.1455,0.95,0.75,0.73,0.49,0.0708,,rank(sales / assets)
c11_s03_ep,Vk6PnY75,UNSUBMITTED,IQC示例3,0.35,0.17,0.0431,0.0298,0.2884,0.44,0.24,0.01,0.0,0.0925,,"group_rank(eps / close, subindustry)"
c12_fin_quality,,SIM_FAIL,数据集详解·财务质量,,,,,,,,,,,"{""id"": ""4dBg2j4Nd4Igbxkhwf8ohY5"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use unknown variable \""net_income\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 19, ""end"": 29, ""property"": ""regular""}, ""links"": {""linkToCommonErr",rank(cashflow_op / net_income)
c13_s04_estnp,akLnJLMx,UNSUBMITTED,IQC示例4·分析师,0.99,0.74,0.026,0.0692,0.0893,1.12,0.91,0.34,0.13,0.0534,,"group_rank(est_netprofit / cap, subindustry)"
c14_etz_eps_z,,SIM_FAIL,设置指南·分析师,,,,,,,,,,,"{""id"": ""2rManWdOi4CJcGU2nOiRfvQ"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Invalid data field etz_eps. <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": null, ""start"": null, ""end"": null, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""h","rank(ts_zscore(etz_eps, 252))"
c15_snt_diff,,SIM_FAIL,数据集详解·情绪,,,,,,,,,,,"{""id"": ""1lIVGC90k56q8ynwuQ1FvYB"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use unknown variable \""snt_bullish\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 5, ""end"": 16, ""property"": ""regular""}, ""links"": {""linkToCommonErr",rank(snt_bullish - snt_bearish)
