cid,id,SF,S,F,T,tS,DD,decay,maxcorr,nearest,need_S,need_who,margin,verdict,expr
w114_m,om6jX2Xn,4.13,2.53,1.6,0.2563,2.33,0.042,4,0.7381,j23Pl0e5,3.575,j23Pl0e5,-1.045,NO,"group_rank(ts_corr(cap, ts_mean(volume, 20), 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))"
w115_c,xAY7oGrn,4.36,2.51,1.85,0.2524,1.91,0.0521,4,0.7388,akLp3pzW,3.795,0mR2K6lr,-1.285,NO,"group_rank(fnd6_intc/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))"
w27_lnoq_xrent,j238M38O,4.63,2.53,2.1,0.2161,2.28,0.0348,8,0.7412,XgWnklXa,3.102,O0rZ90n1,-0.572,NO,"group_rank(fnd6_newqv1300_lnoq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))"
w39_h,RRV5zJX0,4.85,2.52,2.33,0.114,1.35,0.0505,40,0.7617,O0rZ90n1,3.102,O0rZ90n1,-0.582,NO,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w87_d,Grd7dq80,4.24,2.32,1.92,0.0934,1.43,0.0283,4,0.7636,e79PvPpE,3.795,0mR2K6lr,-1.475,NO,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.4*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.4*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.25*group_rank(-ts_delta(close, 10), subindustry) + 0.25*rank(volume/ts_mean(volume, 120))"
w54_c,blRJRxvl,5.24,2.74,2.5,0.1317,2.6,0.0267,14,0.7639,O0rZ90n1,3.102,O0rZ90n1,-0.362,NO,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash, 45)/assets, subindustry) + group_rank(ts_av_diff(cashflow_op, 45)/enterprise_value, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))"
w63_f,gJQgpgGM,4.1,2.58,1.52,0.4283,3.5,0.0624,2,0.7729,le8EAJLO,3.795,0mR2K6lr,-1.215,NO,"group_rank(fnd6_txtubpospinc/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 3), subindustry) + rank(volume/ts_mean(volume, 60))"
w87_b,kqVYj9X6,4.25,2.33,1.92,0.101,1.44,0.028,4,0.7743,6Xr2eQaJ,3.795,0mR2K6lr,-1.465,NO,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.3*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.3*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.3*group_rank(-ts_delta(close, 10), subindustry) + 0.3*rank(volume/ts_mean(volume, 120))"
w91_f,kqVMGzQ8,4.25,2.33,1.92,0.101,1.44,0.028,4,0.7743,6Xr2eQaJ,3.795,0mR2K6lr,-1.465,NO,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.30*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.30*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.30*group_rank(-ts_delta(close, 10), subindustry) + 0.30*rank(volume/ts_mean(volume, 120))"
w114_c,78ZP2gj1,4.81,2.91,1.9,0.2592,2.46,0.0355,4,0.7761,akLp3pzW,3.795,0mR2K6lr,-0.885,NO,"group_rank(fnd6_intc/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))"
