cid,id,S,F,SF,T,R,DD,tS,band,fails,grade,universe,neutralization,decay,truncation,delay,submitted,expr,maxcorr,nearest
w59_b,le8EAJLO,2.73,1.51,4.24,0.4708,0.1438,0.0501,2.91,C,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60)) + group_rank(ts_av_diff(anl4_fs_detail_estimate_1qf_v4_nd_totassets_median/assets, 60), subindustry)",0.6934,rK59235m
w114_m,om6jX2Xn,2.53,1.6,4.13,0.2563,0.1023,0.042,2.33,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(ts_corr(cap, ts_mean(volume, 20), 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_intc/assets, bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_mean(volume*close, 20)), range=""0.1, 1, 0.1""))",0.7387,j23Pl0e5
w115_c,xAY7oGrn,2.51,1.85,4.36,0.2524,0.1372,0.0521,1.91,C,,GOOD,TOP3000,SECTOR,4,0.08,1,N,"group_rank(fnd6_intc/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(fnd6_tfvce/assets, bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1""))",0.7394,akLp3pzW
w27_lnoq_xrent,j238M38O,2.53,2.1,4.63,0.2161,0.1491,0.0348,2.28,C,,EXCELLENT,TOP3000,SUBINDUSTRY,8,0.08,1,N,"group_rank(fnd6_newqv1300_lnoq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), subindustry) + rank(-ts_delta(close, 2)) + rank(volume/ts_mean(volume, 60))",0.7418,XgWnklXa
w63_f,gJQgpgGM,2.58,1.52,4.1,0.4283,0.1496,0.0624,3.5,C,,GOOD,TOP3000,SUBINDUSTRY,2,0.08,1,N,"group_rank(fnd6_txtubpospinc/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 3), subindustry) + rank(volume/ts_mean(volume, 60))",0.7574,9qV8l13o
w39_h,RRV5zJX0,2.52,2.33,4.85,0.114,0.1072,0.0505,1.35,C,,EXCELLENT,TOP3000,SUBINDUSTRY,40,0.08,1,N,"group_rank(fnd6_newqv1300_cimiiq/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 30), subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7623,O0rZ90n1
w87_d,Grd7dq80,2.32,1.92,4.24,0.0934,0.0853,0.0283,1.43,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.4*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.4*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.25*group_rank(-ts_delta(close, 10), subindustry) + 0.25*rank(volume/ts_mean(volume, 120))",0.7642,e79PvPpE
w54_c,blRJRxvl,2.74,2.5,5.24,0.1317,0.11,0.0267,2.6,B,,GOOD,TOP3000,SUBINDUSTRY,14,0.08,0,N,"group_rank(fnd6_xrent/assets, subindustry) + group_rank(ts_av_diff(cash, 45)/assets, subindustry) + group_rank(ts_av_diff(cashflow_op, 45)/enterprise_value, subindustry) + group_rank(-ts_delta(close, 2), subindustry) + rank(volume/ts_mean(volume, 60))",0.7645,O0rZ90n1
w87_b,kqVYj9X6,2.33,1.92,4.25,0.101,0.0848,0.028,1.44,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.3*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.3*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.3*group_rank(-ts_delta(close, 10), subindustry) + 0.3*rank(volume/ts_mean(volume, 120))",0.7749,6Xr2eQaJ
w91_f,kqVMGzQ8,2.33,1.92,4.25,0.101,0.0848,0.028,1.44,C,,GOOD,TOP3000,SUBINDUSTRY,4,0.08,1,N,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(anl4_fs_detail_estimate_1qf_v4_nd_sga_median/assets, subindustry) + 0.30*group_rank(ts_av_diff(cash/assets, 45), subindustry) + 0.30*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + 0.30*group_rank(-ts_delta(close, 10), subindustry) + 0.30*rank(volume/ts_mean(volume, 120))",0.7749,6Xr2eQaJ
