id,cid,SF,tS,corr,hit,neut,expr
O0NQxp71,x172_w164_05_TURND,4.82,1.74,0.686,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 0.75*group_rank(-ts_rank(returns, 20), subindustry) + 0.75*group_rank(-ts_mean(open/ts_delay(close,1) - 1, 5), subindustry) + 0.75*group_rank(-ts_rank(returns, 5), subindustry) + 0.75*group_rank(-ts_rank(volume/ts_mean(volume, 120), 20), subindustry)"
A1NjP9Vl,x172_w165_01_OVN,4.98,2.13,0.6987,akbjdK26,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 2.0*group_rank(-ts_rank(returns, 5), subindustry) + 0.75*group_rank(-ts_rank(open/ts_delay(close, 1) - 1, 20), subindustry)"
O0N0l8LR,w165_01,4.86,2.12,0.7065,akLp3pzW,SUBINDUSTRY,"1.5*group_rank(fnd6_pstkl/cap, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 2.0*group_rank(-ts_rank(returns, 5), subindustry)"
Xgbm8EGz,x172_w164_01_TURND,4.91,1.62,0.7066,akbjdK26,SUBINDUSTRY,"1.5*group_rank(ts_av_diff(cash/assets,45), subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 1.25*group_rank(-ts_rank(returns, 5), subindustry) + 0.75*group_rank(-ts_rank(volume/ts_mean(volume, 120), 20), subindustry)"
MPaPEQGn,w164_02,5.0,3.09,0.7068,kqVp6wnO,SUBINDUSTRY,"1.5*group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + 1.5*group_rank(-ts_rank(returns, 5), subindustry)"
Vka1oG6A,m161_e79PvPpE,4.6,1.48,0.7086,levpXXGl,MARKET,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
A1Nj7wYe,x172_w164_02_INTRA,5.21,3.51,0.7101,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + 1.5*group_rank(-ts_rank(returns, 5), subindustry) + 0.75*group_rank(-ts_rank(close/open - 1, 20), subindustry)"
9qjqeMn1,w164_05,5.11,1.86,0.7109,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + group_rank(fnd6_xrent/assets, subindustry) + 0.75*group_rank(-ts_rank(returns, 20), subindustry) + 0.75*group_rank(-ts_mean(open/ts_delay(close,1) - 1, 5), subindustry) + 0.75*group_rank(-ts_rank(returns, 5), subindustry)"
j23qYr8O,w125_d,4.13,2.49,0.7126,kqVp6wnO,SUBINDUSTRY,"group_rank(fnd6_newa2v1300_tstk/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_loq/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_newqv1300_cicurrq/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))"
omL8lP5n,x172_w166_02_OVN,4.79,2.23,0.7218,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(-(fnd6_newa2v1300_ni - cashflow_op)/assets, subindustry) + group_rank(operating_expense/assets, subindustry) + 2.0*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 2.0*group_rank(-ts_rank(returns, 5), subindustry) + 0.75*group_rank(-ts_rank(open/ts_delay(close, 1) - 1, 20), subindustry)"
78N8e57v,w166_02,4.65,2.21,0.7223,pwRwWoJ3,SUBINDUSTRY,"1.5*group_rank(-(fnd6_newa2v1300_ni - cashflow_op)/assets, subindustry) + group_rank(operating_expense/assets, subindustry) + 2.0*group_rank(-ts_mean(abs(returns)/volume, 20), subindustry) + 2.0*group_rank(-ts_rank(returns, 5), subindustry)"
d5bkwLGX,m161_0mR2K6lr,4.07,2.04,0.7229,e79PvPpE,MARKET,"group_rank(authorized_stock_buyback_amount/assets, subindustry) + group_rank(-annual_intangible_assets_net_carrying_value/assets, subindustry) + group_rank(news_short_interest, subindustry) + group_rank(ts_av_diff(cash/assets, 45), subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), subindustry) + group_rank(-ts_delta(close, 10), subindustry) + rank(volume/ts_mean(volume, 120))"
Vk6AxE1b,w125_c,4.33,3.01,0.725,akLp3pzW,SUBINDUSTRY,"group_rank(fnd6_newqv1300_cicurrq/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_dxd5/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + group_rank(fnd6_aqi/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cash/assets, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(-ts_delta(close, 2), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1"")) + 0.5*group_rank(volume/ts_mean(volume, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))"
rKOpExXE,x164_w16402_SEC,4.96,2.21,0.7386,58znv2Y1,SECTOR,"1.5*group_rank(fnd6_mfmq_mibtq/cap, subindustry) + group_rank(ts_av_diff(cashflow_op/enterprise_value,45), subindustry) + group_rank(fn_accrued_liab_curr_a/assets, subindustry) + 1.5*group_rank(-ts_rank(returns, 5), subindustry)"
