id,status,dateSubmitted,S,F,S+F,tier,T,R,DD,margin,pnl,selfCorr,F_if_T125,F_if_T030,T_drag
1YwKML56,ACTIVE,2026-08-29T13:09:25-04:00,2.21,1.75,3.96,B(3.4-3.99),0.1891,0.1185,0.0497,0.001253,5861898,0.9687,2.15,1.39,0.4
1YwRK1wW,ACTIVE,2026-08-30T23:54:22-04:00,2.11,1.31,3.42,B(3.4-3.99),0.4114,0.1588,0.071,0.000772,7857422,0.2898,2.38,1.54,1.07
58Q7kl1z,ACTIVE,2026-09-05T04:59:29-04:00,2.14,1.49,3.63,B(3.4-3.99),0.2287,0.1104,0.0374,0.000965,5462668,0.6853,2.01,1.3,0.52
58QVJA9M,ACTIVE,2026-09-04T06:19:45-04:00,2.15,1.27,3.42,B(3.4-3.99),0.2525,0.0877,0.0551,0.000695,4337962,0.6179,1.8,1.16,0.53
58p2XdxX,ACTIVE,2026-08-15T07:17:36-04:00,1.55,1.34,2.89,D(<3.0),0.017,0.0938,0.0525,0.011041,4641723,0.0,1.34,0.87,0.0
6XrbGx1L,ACTIVE,2026-09-04T06:23:13-04:00,2.26,1.75,4.01,A(>=4.0),0.171,0.1026,0.063,0.0012,5078193,0.8695,2.05,1.32,0.3
883OXpJl,ACTIVE,2026-09-07T05:01:18-04:00,2.48,1.78,4.26,A(>=4.0),0.197,0.1018,0.0335,0.001034,5039118,0.4886,2.24,1.44,0.46
9qX3M2mq,ACTIVE,2026-08-31T00:03:45-04:00,2.49,1.45,3.94,B(3.4-3.99),0.5278,0.1784,0.0544,0.000676,8825695,0.9569,2.97,1.92,1.52
9qX8Nr6r,ACTIVE,2026-08-28T23:41:21-04:00,1.26,1.49,2.75,D(<3.0),0.0383,0.175,0.2641,0.009134,8658286,0.3838,1.49,0.96,0.0
A10MYm3d,ACTIVE,2026-09-03T11:05:21-04:00,1.9,1.46,3.36,C(3.0-3.39),0.2221,0.1308,0.056,0.001178,6473345,0.7721,1.94,1.25,0.48
A10a7pdY,ACTIVE,2026-09-06T04:19:09-04:00,2.32,1.54,3.86,B(3.4-3.99),0.28,0.1234,0.0513,0.000881,6103378,0.7657,2.31,1.49,0.77
E5v15JPJ,ACTIVE,2026-09-02T11:44:23-04:00,1.67,1.14,2.81,D(<3.0),0.2069,0.0969,0.0529,0.000937,4794670,0.5636,1.47,0.95,0.33
E5vkQ76G,ACTIVE,2026-09-07T10:12:42-04:00,2.39,1.72,4.11,A(>=4.0),0.2025,0.1051,0.0327,0.001038,5202343,0.5979,2.19,1.41,0.47
LL9n2Jp1,ACTIVE,2026-09-07T05:07:36-04:00,2.22,1.57,3.79,B(3.4-3.99),0.1791,0.0898,0.0295,0.001003,4442607,0.6391,1.88,1.21,0.31
MP1mQRro,ACTIVE,2026-09-04T00:09:35-04:00,1.91,1.74,3.65,B(3.4-3.99),0.0934,0.1043,0.0668,0.002234,5162760,0.9185,1.74,1.13,0.0
N1QxNQK7,ACTIVE,2026-09-02T09:22:17-04:00,2.06,1.17,3.23,C(3.0-3.39),0.6575,0.2107,0.1764,0.000641,10426609,0.7698,2.67,1.73,1.5
QP3XalpK,ACTIVE,2026-09-03T23:57:08-04:00,1.27,1.07,2.34,D(<3.0),0.1157,0.0889,0.0623,0.001536,4397352,0.6567,1.07,0.69,0.0
QP7z069Q,ACTIVE,2026-08-29T11:07:01-04:00,1.64,1.38,3.02,C(3.0-3.39),0.0194,0.0882,0.0419,0.009116,4365342,0.9364,1.38,0.89,-0.0
RR79x16n,ACTIVE,2026-08-28T22:59:15-04:00,1.47,1.16,2.63,D(<3.0),0.0194,0.0776,0.045,0.007998,3840356,0.4974,1.16,0.75,-0.0
