date,src,scope,rank,user,total,days,is,uniq,univ
2026-09-22,screenshot_1705,top30,1,YX42680,0.86,34,13077,0.53,
2026-09-22,screenshot_1705,top30,2,CS35156,0.85,38,17229,0.66,Chongqing University of Posts and Telecommunications
2026-09-22,screenshot_1705,top30,3,Ke Wang,0.81,31,19467,0.64,Peking University
2026-09-22,screenshot_1705,top30,4,FL70603,0.81,47,13616,0.83,Peking University
2026-09-22,screenshot_1705,top30,5,MG76588,0.79,32,15417,0.72,Guangdong University of Science and Technology
2026-09-22,screenshot_1705,top30,6,CH42645,0.78,34,10298,0.6,South China Normal University
2026-09-22,screenshot_1705,top30,7,JW40109,0.78,48,12598,0.85,
2026-09-22,screenshot_1705,top30,8,HG77739,0.78,32,12076,0.72,
2026-09-22,screenshot_1705,top30,9,CW16048,0.74,48,10979,0.86,Harbin Institute of Technology
2026-09-22,screenshot_1705,top30,10,HL19556,0.74,48,11558,0.86,
2026-09-22,screenshot_1705,top30,11,YW70391,0.73,27,9777,0.5,Chongqing University of Technology
2026-09-22,screenshot_1705,top30,12,Leslie Cheung,0.72,46,8098,0.53,
2026-09-22,screenshot_1705,top30,13,BH65499,0.71,18,10731,0.5,Tsinghua University
2026-09-22,screenshot_1705,top30,14,HL14389,0.7,49,11886,0.88,Harbin Institute of Technology
2026-09-22,screenshot_1705,top30,15,PF72535,0.7,20,11309,0.66,
2026-09-22,screenshot_1705,top30,16,YY54474,0.7,48,10147,0.86,
2026-09-22,screenshot_1705,top30,17,WL77079,0.69,48,11717,0.88,
2026-09-22,screenshot_1705,top30,18,XP53031,0.69,20,12868,0.74,Tsinghua University
2026-09-22,screenshot_1705,top30,19,YL36885,0.69,19,12687,0.72,
2026-09-22,screenshot_1705,top30,20,Shao Fei,0.69,8,21385,0.51,Nanjing University of Science and Technology
2026-09-22,screenshot_1705,top30,21,WW00183,0.69,12,10606,0.39,Harbin Institute of Technology
2026-09-22,screenshot_1705,top30,22,XW31386,0.68,12,11951,0.59,
2026-09-22,screenshot_1705,top30,23,LY76923,0.68,12,15103,0.63,
2026-09-22,screenshot_1705,top30,24,SJ63724,0.68,21,16170,0.79,
2026-09-22,screenshot_1705,top30,25,yuantaotao,0.68,21,14085,0.79,
2026-09-22,screenshot_1705,top30,26,QJ87786,0.68,9,11387,0.45,
2026-09-22,screenshot_1705,top30,27,XW95492,0.67,6,14036,0.5,Fudan University
2026-09-22,screenshot_1705,top30,28,CY21614,0.67,41,9880,0.84,
2026-09-22,screenshot_1705,top30,29,BX12838,0.66,50,9978,0.88,Harbin Institute of Technology
2026-09-22,screenshot_1705,top30,30,YZ41300,0.66,9,11771,0.58,
2026-09-22,screenshot_1705,me,,LJ49886 (Me),81,0.59,26,8719,0.71,not applicable
2026-09-23,screenshot_1336,top30,1,YX42680,0.84,34,13077,0.53,
2026-09-23,screenshot_1336,top30,2,CS35156,0.84,38,17312,0.65,Chongqing University of Posts and Telecommunications
2026-09-23,screenshot_1336,top30,3,FL70603,0.8,46,13616,0.82,Peking University
2026-09-23,screenshot_1336,top30,4,Ke Wang,0.79,30,19467,0.64,Peking University
2026-09-23,screenshot_1336,top30,5,MG76588,0.78,32,15417,0.72,Guangdong University of Science and Technology
2026-09-23,screenshot_1336,top30,6,JW40109,0.77,47,12598,0.84,
2026-09-23,screenshot_1336,top30,7,CH42645,0.76,33,10298,0.6,South China Normal University
2026-09-23,screenshot_1336,top30,8,CW16048,0.73,47,10979,0.85,Harbin Institute of Technology
2026-09-23,screenshot_1336,top30,9,HL19556,0.72,47,11558,0.85,
2026-09-23,screenshot_1336,top30,10,Leslie Cheung,0.72,47,8098,0.54,
2026-09-23,screenshot_1336,top30,11,YW70391,0.72,28,9745,0.51,Chongqing University of Technology
2026-09-23,screenshot_1336,top30,12,PF72535,0.7,20,11309,0.65,
2026-09-23,screenshot_1336,top30,13,HL14389,0.69,48,11886,0.87,Harbin Institute of Technology
2026-09-23,screenshot_1336,top30,14,XP53031,0.69,21,13600,0.74,Tsinghua University
2026-09-23,screenshot_1336,top30,15,YL36885,0.69,19,12687,0.72,
2026-09-23,screenshot_1336,top30,16,Shao Fei,0.69,8,21385,0.5,Nanjing University of Science and Technology
2026-09-23,screenshot_1336,top30,17,LY76923,0.69,13,15103,0.62,
2026-09-23,screenshot_1336,top30,18,YY54474,0.68,47,10147,0.85,
2026-09-23,screenshot_1336,top30,19,WW60183,0.68,12,10606,0.39,Harbin Institute of Technology
2026-09-23,screenshot_1336,top30,20,WL77079,0.68,47,11717,0.87,
2026-09-23,screenshot_1336,top30,21,XW31386,0.68,12,11951,0.59,
2026-09-23,screenshot_1336,top30,22,QJ87786,0.68,9,11387,0.44,
2026-09-23,screenshot_1336,top30,23,XW95492,0.67,6,14036,0.51,Fudan University
2026-09-23,screenshot_1336,top30,24,yuantaotao,0.67,21,14085,0.79,
2026-09-23,screenshot_1336,top30,25,SJ63724,0.66,20,16170,0.79,
2026-09-23,screenshot_1336,top30,26,CY21614,0.66,40,9880,0.83,
2026-09-23,screenshot_1336,top30,27,TT70501,0.66,6,12604,0.53,
2026-09-23,screenshot_1336,top30,28,CC99196,0.66,27,9172,0.59,
2026-09-23,screenshot_1336,top30,29,YZ41300,0.66,9,11771,0.59,
2026-09-23,screenshot_1336,top30,30,XD58255,0.66,10,12887,0.64,Academy for Information Technology
2026-09-23,screenshot_1336,me,,LJ49886 (Me),75,0.59,27,8827,0.71,not applicable
2026-09-24,screenshot_1605,top30,1,YX42680,0.84,34,13077,0.53,
2026-09-24,screenshot_1605,top30,2,CS35156,0.84,37,17312,0.65,Chongqing University of Posts and Telecommunications
2026-09-24,screenshot_1605,top30,3,FL70603,0.81,46,14110,0.82,Peking University
2026-09-24,screenshot_1605,top30,4,Ke Wang,0.79,29,19467,0.63,Peking University
2026-09-24,screenshot_1605,top30,5,MG76588,0.78,32,15417,0.72,Guangdong University of Science and Technology
2026-09-24,screenshot_1605,top30,6,JW40109,0.76,46,12598,0.84,
2026-09-24,screenshot_1605,top30,7,CH42645,0.76,32,10298,0.59,South China Normal University
2026-09-24,screenshot_1605,top30,8,Leslie Cheung,0.75,48,8285,0.52,
2026-09-24,screenshot_1605,top30,9,YW70391,0.72,28,9745,0.5,Chongqing University of Technology
2026-09-24,screenshot_1605,top30,10,HL19556,0.72,46,11558,0.86,
2026-09-24,screenshot_1605,top30,11,CW16048,0.72,46,10979,0.85,Harbin Institute of Technology
2026-09-24,screenshot_1605,top30,12,PF72535,0.7,20,11309,0.65,
2026-09-24,screenshot_1605,top30,13,HL14389,0.7,47,11886,0.88,Harbin Institute of Technology
2026-09-24,screenshot_1605,top30,14,XP53031,0.69,21,13600,0.74,Tsinghua University
2026-09-24,screenshot_1605,top30,15,LY76923,0.69,14,15208,0.62,
2026-09-24,screenshot_1605,top30,16,YL36885,0.69,19,12687,0.72,
2026-09-24,screenshot_1605,top30,17,Shao Fei,0.69,8,21385,0.5,Nanjing University of Science and Technology
2026-09-24,screenshot_1605,top30,18,WW60183,0.68,12,10606,0.38,Harbin Institute of Technology
2026-09-24,screenshot_1605,top30,19,XW31386,0.68,12,11951,0.58,
2026-09-24,screenshot_1605,top30,20,WL77079,0.68,46,11717,0.88,
2026-09-24,screenshot_1605,top30,21,YY54474,0.68,46,10147,0.86,
2026-09-24,screenshot_1605,top30,22,CC99196,0.68,28,9250,0.57,
2026-09-24,screenshot_1605,top30,23,QJ87786,0.68,9,11387,0.44,
2026-09-24,screenshot_1605,top30,24,yuantaotao,0.67,21,14085,0.79,
2026-09-24,screenshot_1605,top30,25,XW95492,0.67,6,14036,0.51,Fudan University
2026-09-24,screenshot_1605,top30,26,SJ63724,0.66,19,16170,0.78,
2026-09-24,screenshot_1605,top30,27,CY21614,0.66,40,9842,0.84,
2026-09-24,screenshot_1605,top30,28,YZ41300,0.66,9,11771,0.57,
2026-09-24,screenshot_1605,top30,29,BX12838,0.65,49,10015,0.88,Harbin Institute of Technology
2026-09-24,screenshot_1605,top30,30,XD58255,0.65,10,12887,0.65,Academy for Information Technology
2026-09-24,screenshot_1605,me,,LJ49886 (Me),58,0.61,28,8906,0.7,not applicable
2026-09-25,screenshot,top30,1,YX42680,0.85,34,13077,0.53,
2026-09-25,screenshot,top30,2,CS35156,0.83,36,17312,0.65,Chongqing University of Posts and Telecommunications
2026-09-25,screenshot,top30,3,FL70603,0.81,46,14430,0.81,Peking University
2026-09-25,screenshot,top30,4,Ke Wang,0.78,28,19467,0.63,Peking University
2026-09-25,screenshot,top30,5,MG76588,0.78,32,15417,0.72,Guangdong University of Science and Technology
2026-09-25,screenshot,top30,6,JW49109,0.77,46,12727,0.84,
